ReconDate,BizID,Amount,PremiumID,AllocatedAmount,PaymentIDs_Used,Status,Shortfall
2026-01-31,20028382,1200.0,PREM_00275,1200.0,PAY_00239,Fully Paid,0.0
2026-01-31,20028386,1200.0,PREM_00276,1200.0,PAY_00077,Fully Paid,0.0
2026-01-31,20028485,1200.0,PREM_00277,0.0,,Unpaid,1200.0
2026-01-31,20028522,1200.0,PREM_00278,0.0,,Unpaid,1200.0
2026-01-31,20029169,1200.0,PREM_00279,1200.0,PAY_00280,Fully Paid,0.0
2026-01-31,20029224,1200.0,PREM_00280,0.0,,Unpaid,1200.0
2026-01-31,20029470,1200.0,PREM_00281,0.0,,Unpaid,1200.0
2026-01-31,20029513,1200.0,PREM_00282,1200.0,PAY_00262,Fully Paid,0.0
2026-01-31,20029858,1200.0,PREM_00283,1200.0,PAY_00078,Fully Paid,0.0
2026-01-31,20030171,1200.0,PREM_00284,1200.0,PAY_00156,Fully Paid,0.0
2026-01-31,20030258,1200.0,PREM_00285,1200.0,PAY_00146,Fully Paid,0.0
2026-01-31,20030753,1200.0,PREM_00286,1200.0,PAY_00155,Fully Paid,0.0
2026-01-31,20030887,1200.0,PREM_00287,1200.0,PAY_00319,Fully Paid,0.0
2026-01-31,20031688,1200.0,PREM_00288,1200.0,PAY_00106,Fully Paid,0.0
2026-01-31,20031919,1200.0,PREM_00289,0.0,,Unpaid,1200.0
2026-01-31,20032121,1200.0,PREM_00290,1200.0,PAY_00306,Fully Paid,0.0
2026-01-31,20032792,1200.0,PREM_00291,0.0,,Unpaid,1200.0
2026-01-31,20032987,1200.0,PREM_00292,1200.0,PAY_00272,Fully Paid,0.0
2026-01-31,20033207,1200.0,PREM_00293,1200.0,PAY_00240,Fully Paid,0.0
2026-01-31,20033551,1200.0,PREM_00294,1200.0,PAY_00307,Fully Paid,0.0
2026-01-31,20033785,1200.0,PREM_00295,1200.0,PAY_00207,Fully Paid,0.0
2026-01-31,20034353,1200.0,PREM_00296,0.0,,Unpaid,1200.0
2026-01-31,20034561,1200.0,PREM_00297,0.0,,Unpaid,1200.0
2026-01-31,20034667,1200.0,PREM_00298,1200.0,PAY_00281,Fully Paid,0.0
2026-01-31,20034694,1200.0,PREM_00299,0.0,,Unpaid,1200.0
2026-01-31,20034744,1200.0,PREM_00300,1200.0,PAY_00079,Fully Paid,0.0
2026-01-31,20034829,1200.0,PREM_00301,0.0,,Unpaid,1200.0
2026-01-31,20035124,1200.0,PREM_00302,0.0,,Unpaid,1200.0
2026-01-31,20035634,1200.0,PREM_00303,1200.0,PAY_00148,Fully Paid,0.0
2026-01-31,20035644,1200.0,PREM_00304,1200.0,PAY_00263,Fully Paid,0.0
2026-01-31,20036208,1200.0,PREM_00305,0.0,,Unpaid,1200.0
2026-01-31,20036404,1200.0,PREM_00306,1200.0,PAY_00214,Fully Paid,0.0
2026-01-31,20036863,1200.0,PREM_00307,1200.0,PAY_00282,Fully Paid,0.0
2026-01-31,20037440,1200.0,PREM_00308,1200.0,PAY_00149,Fully Paid,0.0
2026-01-31,20037697,1200.0,PREM_00309,1200.0,PAY_00208,Fully Paid,0.0
2026-01-31,20037747,1200.0,PREM_00310,1200.0,PAY_00264,Fully Paid,0.0
2026-01-31,20038098,1200.0,PREM_00311,0.0,,Unpaid,1200.0
